Poprzednik;Nastepnik;Wsparcie;Zaufanie;Przyrost;Korelacja
Bread;Hot chocolate;0.01553;0.04747;0.00009;0.32721;
Bread;Cookies;0.01574;0.04811;0.00009;0.32721;
Bread;Coffee;0.11421;0.34905;0.00008;0.32721;
Bread;Pastry;0.03307;0.10107;0.00012;0.32721;
Bread;Medialuna;0.01838;0.05618;0.00010;0.32721;
Bread;Tea;0.03212;0.09816;0.00007;0.32721;
Bread;Cake;0.02694;0.08234;0.00008;0.32721;
Bread;Sandwich;0.02113;0.06458;0.00009;0.32721;
Hot chocolate;Bread;0.01553;0.26630;0.00009;0.05832;
Hot chocolate;Coffee;0.03603;0.61775;0.00014;0.05832;
Cookies;Bread;0.01574;0.28932;0.00009;0.05441;
Cookies;Coffee;0.04036;0.74175;0.00016;0.05441;
Muffin;Coffee;0.02398;0.62363;0.00014;0.03846;
Coffee;Bread;0.11421;0.23874;0.00008;0.47839;
Coffee;Hot chocolate;0.03603;0.07531;0.00014;0.47839;
Coffee;Cookies;0.04036;0.08436;0.00016;0.47839;
Coffee;Muffin;0.02398;0.05013;0.00014;0.47839;
Coffee;Pastry;0.06476;0.13538;0.00017;0.47839;
Coffee;Medialuna;0.04628;0.09673;0.00017;0.47839;
Coffee;Tea;0.05769;0.12058;0.00009;0.47839;
Coffee;Juice;0.02652;0.05543;0.00015;0.47839;
Coffee;Soup;0.02124;0.04439;0.00014;0.47839;
Coffee;Cake;0.07544;0.15769;0.00016;0.47839;
Coffee;Sandwich;0.05674;0.11860;0.00017;0.47839;
Coffee;Alfajores;0.02831;0.05919;0.00017;0.47839;
Coffee;Brownie;0.02504;0.05234;0.00014;0.47839;
Coffee;Toast;0.03127;0.06537;0.00021;0.47839;
Coffee;Scone;0.02314;0.04837;0.00015;0.47839;
Pastry;Bread;0.03307;0.38405;0.00012;0.08611;
Pastry;Coffee;0.06476;0.75215;0.00017;0.08611;
Medialuna;Bread;0.01838;0.29744;0.00010;0.06181;
Medialuna;Coffee;0.04628;0.74872;0.00017;0.06181;
Tea;Bread;0.03212;0.22519;0.00007;0.14263;
Tea;Coffee;0.05769;0.40444;0.00009;0.14263;
Tea;Cake;0.02842;0.19926;0.00020;0.14263;
Tea;Sandwich;0.01659;0.11630;0.00017;0.14263;
Juice;Coffee;0.02652;0.68767;0.00015;0.03856;
Soup;Coffee;0.02124;0.61656;0.00014;0.03444;
Cake;Bread;0.02694;0.25941;0.00008;0.10386;
Cake;Coffee;0.07544;0.72635;0.00016;0.10386;
Cake;Tea;0.02842;0.27365;0.00020;0.10386;
Sandwich;Bread;0.02113;0.29412;0.00009;0.07184;
Sandwich;Coffee;0.05674;0.78971;0.00017;0.07184;
Sandwich;Tea;0.01659;0.23088;0.00017;0.07184;
Alfajores;Coffee;0.02831;0.77907;0.00017;0.03634;
Brownie;Coffee;0.02504;0.62533;0.00014;0.04004;
Toast;Coffee;0.03127;0.93082;0.00021;0.03360;
Scone;Coffee;0.02314;0.66972;0.00015;0.03455;
